['387', '222', '368', '738', '367', '52', '170', '189', '60', '107', '902', '41', '790', '957', '508', '156', '970', '958', '962', '802', '598', '857', '771', '516', '487', '978', '534', '537', '180', '468', '103', '115', '136', '852', '160', '212', '319', '370', '847', '109', '335', '651', '428', '663', '81', '121', '726', '700', '145']
['233', '418', '620', '707', '965', '94', '35', '841', '314', '817', '714', '205', '913', '209', '413', '354', '518', '201', '304', '241', '16', '701', '883', '56', '845', '0', '29', '780', '415', '906', '943', '460', '375', '10', '73', '22', '550', '604', '500', '494', '704', '653', '540', '246', '144', '196', '26', '282', '400']
['353', '234', '320', '62', '583', '492', '846', '80', '825', '751', '197', '741', '440', '683', '778', '824', '615', '339', '497', '755', '176', '257', '191', '305', '892', '406', '633', '184', '147', '162', '373', '643', '82', '377', '695', '608', '365', '178', '940', '327', '532', '552', '839', '747', '182', '272', '30', '935', '130']
['401', '784', '836', '220', '421', '952', '775', '932', '261', '58', '114', '177', '854', '25', '409', '731', '823', '506', '893', '803', '75', '376', '405', '237', '380', '740', '699', '715', '87', '766', '963', '871', '396', '896', '394', '427', '758', '37', '403', '267', '926', '548', '135', '303', '67', '361', '680', '214', '13']
['108', '284', '264', '393', '431', '644', '17', '696', '729', '511', '810', '895', '609', '133', '422', '917', '636', '463', '296', '588', '68', '243', '925', '309', '475', '831', '186', '878', '123', '553', '944', '263', '266', '183', '946', '131', '313', '425', '557', '385', '517', '225', '287', '799', '169', '232', '352', '19', '286']
['618', '292', '856', '589', '875', '333', '395', '424', '216', '691', '649', '166', '549', '502', '806', '655', '934', '443', '887', '224', '689', '416', '248', '464', '362', '861', '744', '499', '236', '44', '879', '539', '275', '881', '5', '638', '769', '280', '250', '27', '338', '448', '709', '513', '750', '461', '486', '128', '977']
['814', '175', '95', '404', '951', '736', '484', '955', '860', '454', '880', '908', '364', '39', '301', '289', '229', '929', '322', '372', '480', '8', '673', '312', '535', '796', '53', '562', '369', '912', '626', '55', '489', '698', '974', '199', '923', '870', '819', '820', '24', '677', '773', '279', '384', '111', '712', '524', '174']
['132', '614', '627', '573', '525', '363', '949', '298', '90', '204', '42', '586', '725', '650', '727', '61', '675', '438', '306', '290', '181', '665', '858', '585', '202', '792', '724', '894', '63', '749', '641', '3', '23', '876', '909', '6', '230', '172', '371', '782', '621', '752', '595', '783', '560', '192', '794', '167', '213']
['420', '46', '332', '930', '341', '661', '473', '456', '161', '195', '137', '125', '452', '953', '318', '708', '812', '490', '439', '795', '815', '14', '797', '737', '386', '693', '816', '600', '613', '433', '18', '441', '682', '185', '889', '193', '890', '194', '753', '479', '732', '122', '47', '118', '830', '436', '358', '43', '563']
['21', '561', '864', '381', '34', '342', '434', '652', '419', '637', '392', '515', '471', '148', '787', '412', '155', '743', '567', '576', '674', '383', '594', '50', '605', '921', '71', '485', '231', '527', '402', '574', '265', '89', '273', '564', '826', '578', '702', '728', '840', '215', '829', '116', '907', '151', '173', '936', '645']
['31', '219', '768', '579', '218', '928', '770', '898', '1', '654', '739', '429', '149', '868', '733', '580', '972', '853', '937', '226', '941', '344', '153', '459', '48', '69', '938', '765', '884', '498', '801', '942', '717', '710', '346', '617', '763', '582', '656', '188', '240', '253', '378', '293', '950', '105', '245', '754', '659']
['559', '706', '285', '472', '38', '423', '891', '616', '672', '488', '262', '227', '40', '631', '599', '667', '622', '922', '536', '449', '315', '510', '666', '521', '254', '703', '791', '581', '863', '596', '767', '764', '274', '772', '554', '84', '681', '397', '671', '28', '833', '960', '278', '813', '291', '522', '307', '647', '505']
['88', '157', '482', '918', '99', '300', '228', '414', '20', '551', '544', '165', '777', '271', '432', '711', '757', '91', '533', '901', '903', '223', '411', '591', '451', '619', '207', '356', '77', '625', '168', '590', '915', '805', '526', '512', '789', '51', '110', '885', '483', '340', '872', '138', '746', '818', '832', '235', '529']
['807', '630', '742', '713', '299', '722', '74', '382', '100', '862', '723', '126', '106', '976', '408', '541', '640', '904', '501', '503', '967', '276', '493', '252', '334', '357', '927', '316', '374', '242', '964', '859', '187', '808', '317', '390', '530', '705', '255', '849', '179', '827', '575', '389', '324', '632', '785', '158', '244']
['809', '171', '210', '198', '360', '259', '119', '206', '556', '66', '646', '822', '811', '748', '519', '623', '70', '676', '444', '804', '844', '793', '959', '59', '45', '848', '855', '657', '350', '828', '258', '120', '458', '975', '612', '886', '686', '239', '687', '221', '143', '668', '54', '838', '49', '11', '531', '874', '658']
['635', '355', '249', '453', '268', '916', '834', '662', '426', '295', '33', '200', '142', '979', '93', '481', '112', '478', '569', '469', '164', '104', '685', '445', '774', '788', '603', '719', '920', '85', '159', '399', '669', '607', '835', '297', '504', '98', '391', '611', '851', '141', '208', '914', '311', '349', '779', '247', '57']
['64', '593', '961', '12', '294', '203', '718', '260', '899', '688', '735', '610', '910', '446', '435', '543', '124', '781', '660', '759', '843', '398', '2', '495', '329', '919', '163', '113', '281', '721', '251', '867', '969', '888', '78', '546', '308', '924', '877', '571', '734', '379', '150', '470', '4', '954', '465', '966', '520']
['634', '351', '83', '211', '648', '545', '538', '642', '973', '629', '786', '507', '330', '760', '587', '154', '79', '140', '146', '911', '568', '865', '745', '566', '9', '442', '873', '558', '684', '347', '359', '866', '670', '850', '190', '462', '720', '337', '407', '971', '690', '101', '716', '476', '762', '256', '417', '321', '756']
['323', '842', '102', '328', '127', '86', '882', '348', '325', '326', '152', '697', '956', '491', '283', '134', '238', '939', '821', '455', '450', '269', '92', '639', '565', '343', '331', '948', '457', '761', '800', '776', '430', '679', '730', '117', '129', '509', '410', '477', '555', '514', '592', '570', '945', '345', '7', '968', '584']
