['167', '180', '187', '335', '74', '31']
['130', '258', '332', '300', '3', '600']
['70', '691', '343', '324', '347', '540']
['663', '633', '380', '602', '162', '396']
['681', '236', '113', '18', '69', '513']
['256', '485', '42', '208', '461', '72']
['496', '649', '421', '390', '244', '78']
['579', '603', '62', '406', '560', '601']
['525', '322', '331', '36', '211', '170']
['255', '247', '383', '186', '26', '230']
['278', '407', '349', '433', '507', '133']
['623', '374', '175', '545', '582', '125']
['21', '537', '459', '690', '365', '161']
['151', '615', '685', '104', '479', '628']
['527', '676', '12', '393', '670', '79']
['664', '285', '618', '95', '659', '417']
['219', '667', '648', '129', '351', '50']
['687', '327', '326', '450', '565', '356']
['439', '512', '455', '470', '194', '97']
['355', '566', '426', '504', '316', '89']
['476', '645', '339', '73', '302', '702']
['697', '591', '630', '634', '578', '569']
['44', '325', '35', '178', '143', '517']
['550', '717', '573', '387', '353', '575']
['7', '500', '556', '444', '301', '96']
['20', '159', '191', '56', '516', '225']
['554', '672', '271', '703', '120', '308']
['222', '226', '221', '686', '318', '684']
['495', '14', '430', '303', '145', '214']
['163', '447', '458', '352', '228', '701']
['392', '152', '657', '604', '595', '241']
['350', '176', '112', '281', '146', '529']
['427', '441', '306', '280', '223', '482']
['111', '213', '275', '423', '372', '66']
['80', '76', '158', '341', '354', '216']
['10', '402', '456', '330', '63', '103']
['436', '27', '520', '309', '608', '286']
['379', '81', '646', '594', '497', '290']
['68', '502', '613', '533', '201', '108']
['695', '269', '202', '48', '544', '277']
['139', '673', '714', '443', '503', '437']
['562', '431', '445', '51', '680', '329']
['552', '451', '568', '264', '237', '570']
['711', '253', '99', '689', '82', '716']
['625', '135', '465', '227', '692', '571']
['640', '528', '336', '298', '563', '288']
['245', '334', '37', '493', '484', '156']
['357', '284', '404', '61', '435', '462']
['289', '312', '340', '29', '140', '589']
['8', '23', '171', '694', '534', '257']
['193', '509', '92', '675', '696', '218']
['53', '85', '224', '250', '382', '263']
['148', '612', '65', '333', '629', '134']
['518', '2', '86', '233', '561', '122']
['508', '344', '204', '715', '304', '654']
['522', '671', '361', '141', '709', '524']
['183', '292', '577', '543', '549', '428']
['452', '209', '17', '190', '291', '477']
['643', '107', '422', '548', '128', '442']
['46', '478', '583', '77', '642', '610']
['38', '656', '182', '655', '708', '173']
['376', '262', '632', '658', '314', '617']
['198', '581', '43', '626', '547', '242']
['457', '276', '25', '463', '177', '169']
['75', '551', '366', '688', '416', '293']
['719', '232', '710', '668', '136', '542']
['674', '320', '499', '94', '483', '398']
['294', '15', '239', '87', '117', '102']
['210', '110', '584', '126', '514', '272']
['647', '557', '168', '367', '13', '195']
['188', '448', '704', '358', '132', '64']
['246', '492', '683', '238', '650', '101']
['39', '468', '521', '375', '531', '389']
['474', '631', '611', '473', '71', '181']
['494', '287', '172', '0', '251', '328']
['637', '488', '54', '700', '119', '49']
['481', '9', '677', '88', '283', '319']
['523', '252', '706', '203', '491', '666']
['47', '559', '260', '446', '45', '266']
['268', '368', '526', '567', '93', '586']
['624', '388', '574', '321', '11', '28']
['67', '403', '472', '124', '370', '378']
['364', '627', '1', '386', '155', '91']
['593', '391', '597', '414', '718', '59']
['418', '254', '424', '501', '270', '429']
['98', '348', '588', '662', '515', '212']
['234', '157', '440', '105', '90', '394']
['410', '196', '620', '712', '412', '185']
['282', '118', '22', '460', '535', '274']
['189', '454', '682', '32', '299', '33']
['147', '599', '420', '408', '5', '174']
['419', '123', '395', '273', '261', '199']
['34', '678', '369', '558', '489', '315']
['160', '639', '373', '614', '644', '40']
['415', '510', '572', '16', '538', '342']
['165', '506', '660', '636', '84', '323']
['337', '530', '453', '438', '669', '249']
['55', '207', '469', '150', '707', '432']
['6', '313', '153', '296', '698', '539']
['486', '598', '200', '498', '137', '665']
['116', '220', '19', '505', '619', '553']
['149', '240', '30', '235', '345', '215']
['131', '121', '4', '638', '295', '197']
['115', '425', '154', '397', '651', '585']
['164', '596', '587', '607', '693', '661']
['83', '606', '635', '592', '192', '229']
['400', '363', '641', '467', '311', '205']
['590', '359', '371', '532', '653', '399']
['297', '259', '564', '385', '307', '138']
['346', '480', '511', '609', '555', '487']
['127', '58', '142', '541', '713', '279']
['699', '434', '217', '52', '413', '377']
['338', '360', '405', '576', '475', '621']
['705', '310', '24', '305', '60', '384']
['652', '616', '144', '184', '317', '267']
['106', '100', '471', '490', '401', '179']
['622', '466', '109', '57', '411', '243']
['580', '41', '679', '362', '114', '449']
['409', '166', '248', '519', '536', '546']
['464', '206', '605', '265', '231', '381']
