['341', '753', '90', '582', '366', '756', '872', '457', '155', '445']
['474', '940', '689', '448', '2', '889', '77', '357', '957', '698']
['150', '257', '686', '369', '16', '892', '78', '417', '389', '380']
['121', '11', '142', '59', '875', '355', '976', '309', '175', '850']
['381', '459', '516', '478', '525', '836', '468', '98', '441', '298']
['318', '123', '960', '728', '980', '972', '363', '508', '13', '94']
['429', '236', '6', '72', '112', '937', '914', '99', '420', '552']
['797', '717', '485', '827', '916', '683', '567', '18', '668', '127']
['25', '60', '953', '579', '639', '230', '589', '883', '479', '278']
['779', '737', '667', '851', '865', '662', '387', '700', '655', '853']
['788', '12', '378', '821', '632', '307', '208', '713', '162', '690']
['783', '216', '271', '305', '213', '487', '383', '260', '799', '576']
['242', '31', '625', '57', '338', '802', '258', '749', '400', '863']
['831', '399', '553', '750', '822', '593', '503', '755', '321', '361']
['679', '110', '813', '415', '855', '480', '108', '495', '936', '732']
['484', '536', '48', '419', '96', '402', '900', '524', '264', '244']
['584', '949', '628', '638', '563', '335', '277', '404', '885', '998']
['649', '695', '444', '621', '996', '897', '517', '302', '209', '388']
['393', '350', '118', '288', '931', '157', '203', '281', '580', '982']
['215', '605', '198', '64', '14', '499', '426', '488', '719', '29']
['587', '505', '604', '745', '767', '624', '163', '544', '38', '443']
['145', '137', '342', '456', '535', '247', '879', '401', '74', '432']
['685', '714', '575', '521', '58', '120', '286', '738', '73', '864']
['143', '396', '376', '946', '314', '425', '4', '397', '416', '672']
['967', '635', '677', '10', '158', '159', '63', '811', '273', '769']
['368', '181', '841', '232', '815', '776', '414', '876', '757', '146']
['591', '740', '176', '859', '921', '205', '344', '526', '538', '518']
['5', '985', '977', '752', '801', '623', '190', '574', '93', '0']
['659', '313', '747', '569', '573', '130', '718', '857', '705', '930']
['354', '867', '789', '290', '533', '406', '726', '67', '501', '269']
['578', '642', '141', '187', '964', '912', '616', '435', '522', '577']
['86', '76', '66', '805', '975', '311', '711', '332', '618', '608']
['839', '152', '527', '126', '61', '720', '739', '968', '392', '47']
['546', '442', '103', '385', '446', '465', '498', '184', '817', '460']
['924', '785', '923', '119', '766', '840', '830', '893', '282', '693']
['186', '327', '439', '704', '268', '131', '594', '566', '343', '716']
['596', '710', '116', '843', '886', '983', '54', '994', '927', '888']
['235', '565', '782', '681', '283', '899', '328', '829', '79', '663']
['691', '289', '887', '374', '607', '207', '848', '340', '69', '939']
['248', '723', '907', '942', '180', '795', '660', '386', '407', '926']
['189', '600', '299', '612', '954', '510', '55', '358', '511', '775']
['259', '951', '617', '433', '330', '506', '135', '124', '211', '210']
['543', '486', '430', '297', '218', '549', '101', '471', '842', '293']
['372', '183', '712', '500', '868', '746', '894', '824', '992', '818']
['367', '455', '360', '156', '75', '178', '652', '545', '336', '362']
['665', '17', '962', '534', '240', '346', '590', '292', '502', '974']
['306', '645', '615', '447', '182', '450', '970', '796', '828', '326']
['427', '398', '317', '810', '598', '948', '979', '702', '52', '395']
['100', '763', '548', '847', '981', '477', '902', '585', '539', '845']
['800', '877', '167', '905', '895', '266', '920', '634', '37', '26']
['128', '984', '919', '599', '23', '869', '492', '320', '708', '351']
['754', '955', '303', '8', '115', '648', '82', '464', '481', '440']
['114', '375', '520', '199', '20', '494', '694', '413', '915', '15']
['348', '804', '151', '89', '219', '56', '871', '109', '263', '169']
['104', '431', '825', '172', '806', '643', '185', '537', '833', '644']
['438', '989', '377', '245', '519', '630', '423', '324', '329', '641']
['794', '490', '792', '657', '650', '437', '285', '770', '422', '742']
['671', '265', '202', '323', '373', '773', '194', '734', '139', '149']
['637', '896', '196', '945', '421', '722', '287', '819', '80', '551']
['743', '102', '125', '808', '777', '255', '557', '3', '674', '910']
['212', '229', '654', '759', '424', '640', '310', '134', '412', '225']
['761', '436', '171', '586', '507', '138', '697', '513', '562', '405']
['239', '798', '84', '394', '854', '556', '572', '554', '781', '42']
['24', '475', '228', '966', '65', '680', '820', '760', '179', '891']
['558', '613', '304', '764', '653', '254', '469', '814', '812', '53']
['803', '614', '986', '308', '571', '174', '620', '861', '165', '606']
['107', '790', '365', '301', '673', '88', '610', '881', '532', '909']
['959', '884', '1', '512', '626', '636', '786', '809', '300', '177']
['849', '530', '451', '164', '337', '87', '467', '147', '35', '906']
['272', '771', '206', '696', '312', '838', '197', '780', '561', '952']
['550', '762', '97', '270', '727', '934', '793', '778', '7', '993']
['33', '129', '9', '489', '224', '547', '699', '542', '837', '200']
['315', '250', '978', '166', '602', '322', '458', '898', '944', '661']
['241', '990', '528', '568', '237', '929', '192', '619', '144', '334']
['715', '741', '352', '935', '160', '256', '45', '227', '493', '68']
['46', '514', '997', '30', '751', '735', '462', '570', '122', '670']
['631', '51', '461', '564', '928', '603', '234', '81', '274', '49']
['835', '911', '220', '231', '880', '19', '117', '703', '609', '541']
['188', '85', '707', '222', '214', '364', '903', '408', '253', '449']
['132', '866', '787', '161', '233', '44', '682', '27', '629', '999']
['852', '701', '173', '581', '925', '961', '491', '724', '595', '971']
['995', '333', '943', '95', '560', '50', '688', '622', '932', '71']
['251', '32', '988', '252', '730', '592', '664', '39', '882', '382']
['476', '473', '325', '345', '106', '874', '666', '858', '941', '991']
['34', '453', '170', '651', '410', '709', '583', '901', '523', '687']
['238', '133', '195', '721', '846', '483', '633', '136', '963', '856']
['153', '111', '729', '933', '784', '973', '92', '339', '826', '669']
['62', '379', '588', '267', '913', '597', '452', '772', '403', '832']
['765', '823', '774', '947', '873', '154', '331', '908', '296', '409']
['370', '890', '676', '22', '148', '70', '470', '987', '950', '275']
['40', '504', '509', '261', '204', '463', '249', '105', '243', '736']
['359', '938', '226', '223', '515', '731', '411', '956', '356', '41']
['860', '733', '91', '627', '917', '555', '601', '678', '958', '295']
['611', '217', '758', '221', '276', '658', '862', '744', '816', '353']
['684', '559', '284', '21', '191', '262', '246', '706', '28', '371']
['531', '347', '807', '36', '969', '319', '768', '294', '656', '391']
['43', '675', '472', '922', '878', '496', '140', '83', '540', '482']
['434', '349', '454', '904', '646', '390', '418', '834', '113', '428']
['291', '384', '279', '791', '647', '918', '168', '280', '870', '529']
['844', '692', '193', '748', '466', '316', '725', '497', '201', '965']
