['336', '623', '358']
['713', '472', '654']
['768', '268', '827']
['863', '288', '463']
['441', '518', '324']
['740', '175', '682']
['139', '397', '442']
['735', '207', '650']
['852', '648', '258']
['968', '163', '528']
['834', '83', '548']
['253', '413', '143']
['670', '340', '75']
['996', '616', '130']
['329', '890', '440']
['109', '229', '341']
['454', '133', '738']
['320', '621', '643']
['121', '782', '196']
['531', '705', '426']
['31', '914', '416']
['178', '424', '573']
['545', '847', '727']
['386', '871', '373']
['479', '815', '295']
['843', '916', '398']
['439', '722', '635']
['825', '775', '766']
['829', '836', '126']
['293', '656', '284']
['734', '674', '622']
['304', '631', '467']
['147', '558', '421']
['182', '446', '86']
['985', '165', '261']
['681', '339', '98']
['505', '797', '135']
['791', '77', '312']
['542', '145', '411']
['66', '832', '565']
['497', '119', '200']
['789', '947', '78']
['706', '95', '701']
['216', '301', '177']
['668', '931', '152']
['224', '28', '393']
['54', '637', '826']
['381', '977', '73']
['695', '356', '844']
['884', '380', '153']
['328', '461', '392']
['921', '283', '91']
['462', '687', '664']
['657', '62', '971']
['785', '417', '677']
['646', '383', '275']
['999', '845', '620']
['714', '56', '396']
['959', '842', '957']
['376', '198', '720']
['480', '21', '430']
['55', '406', '596']
['626', '908', '314']
['628', '521', '731']
['859', '599', '514']
['482', '148', '953']
['939', '498', '286']
['666', '910', '481']
['712', '854', '592']
['437', '92', '776']
['537', '578', '754']
['491', '425', '469']
['798', '100', '938']
['36', '918', '503']
['302', '30', '220']
['752', '273', '325']
['493', '290', '698']
['792', '321', '549']
['708', '783', '201']
['240', '794', '950']
['159', '225', '685']
['85', '796', '69']
['384', '575', '926']
['942', '912', '176']
['969', '613', '943']
['254', '232', '935']
['944', '787', '68']
['644', '804', '640']
['900', '234', '247']
['568', '205', '534']
['379', '195', '993']
['309', '979', '222']
['839', '120', '849']
['256', '239', '291']
['928', '809', '252']
['458', '830', '676']
['248', '168', '231']
['745', '873', '702']
['408', '700', '998']
['445', '588', '988']
['746', '132', '724']
['831', '516', '369']
['238', '173', '860']
['192', '20']
['530', '251', '511']
['243', '294', '415']
['484', '546', '853']
['157', '675', '665']
['680', '241', '810']
['271', '992', '756']
['642', '172', '876']
['554', '438', '186']
['14', '473', '807']
['465', '494', '179']
['940', '365', '450']
['59', '363', '607']
['543', '33', '19']
['757', '990', '850']
['693', '989', '699']
['337', '997', '576']
