['79', '273', '537', '104', '256', '188', '368']
['154', '539', '664', '681', '678', '171', '504']
['179', '525', '142', '311', '359', '143', '640']
['665', '414', '484', '158', '209', '39', '127']
['507', '60', '41', '410', '164', '248', '584']
['516', '258', '183', '156', '636', '372', '141']
['655', '234', '518', '446', '502', '435', '92']
['178', '380', '348', '169', '630', '153', '342']
['425', '105', '289', '221', '600', '145', '100']
['275', '395', '585', '382', '40', '247', '699']
['499', '459', '542', '454', '367', '233', '419']
['344', '693', '684', '403', '246', '349', '255']
['599', '155', '301', '587', '137', '44', '58']
['210', '399', '38', '656', '223', '245', '365']
['589', '120', '569', '508', '469', '184', '78']
['423', '202', '477', '257', '227', '668', '270']
['126', '300', '378', '534', '601', '195', '688']
['15', '250', '593', '48', '472', '198', '303']
['134', '132', '547', '394', '481', '249', '267']
['274', '93', '347', '225', '242', '443', '271']
['583', '506', '674', '642', '101', '474', '418']
['691', '466', '676', '295', '203', '462', '377']
['570', '287', '629', '561', '176', '150', '49']
['346', '299', '261', '596', '432', '632', '306']
['608', '581', '8', '557', '3', '669', '479']
['217', '526', '18', '80', '33', '129', '644']
['232', '437', '26', '485', '442', '680', '385']
['648', '259', '659', '591', '471', '548', '672']
['467', '604', '182', '9', '53', '533', '35']
['321', '415', '335', '611', '627', '666', '615']
['309', '379', '616', '511', '31', '103', '651']
['444', '576', '297', '187', '262', '578', '173']
['230', '175', '540', '475', '687', '580', '493']
['363', '69', '686', '268', '544', '224', '554']
['592', '59', '329', '310', '165', '190', '177']
['697', '16', '645', '532', '400', '405', '170']
['66', '503', '494', '316', '138', '411', '28']
['55', '663', '628', '421', '661', '641', '139']
['163', '690', '345', '186', '398', '473', '57']
['695', '325', '75', '296', '114', '293', '572']
['283', '355', '480', '626', '623', '206', '460']
['340', '211', '351', '463', '260', '73', '280']
['298', '215', '146', '219', '32', '448', '524']
['445', '25', '383', '111', '180', '99', '647']
['396', '62', '269', '624', '52', '422', '231']
['17', '553', '409', '226', '197', '402', '543']
['239', '5', '122', '559', '192', '406', '95']
['322', '381', '371', '115', '602', '292', '74']
['116', '465', '358', '291', '528', '360', '85']
['550', '376', '241', '482', '2', '522', '21']
['429', '510', '65', '54', '606', '86', '646']
['119', '538', '324', '91', '201', '618', '639']
['356', '19', '431', '633', '501', '23', '683']
['161', '408', '500', '673', '450', '401', '315']
['426', '330', '83', '386', '338', '512', '595']
['417', '160', '407', '388', '453', '560', '439']
['149', '7', '390', '350', '0', '521', '323']
['191', '354', '64', '235', '667', '13', '167']
['243', '136', '96', '430', '157', '562', '107']
['404', '151', '568', '285', '452', '558', '441']
['549', '391', '113', '304', '613', '515', '649']
['620', '343', '635', '266', '361', '84', '22']
['513', '339', '194', '458', '279', '222', '498']
['638', '352', '364', '6', '253', '478', '679']
['106', '276', '112', '76', '228', '614', '535']
['205', '658', '612', '637', '447', '166', '571']
['278', '582', '326', '251', '208', '436', '373']
['566', '527', '131', '128', '334', '71', '123']
['555', '662', '541', '244', '264', '594', '121']
['314', '196', '579', '10', '46', '621', '505']
['333', '252', '520', '168', '265', '37', '213']
['530', '490', '124', '272', '523', '682', '117']
['88', '565', '660', '357', '94', '427', '563']
['110', '564', '14', '650', '370', '294', '98']
['483', '238', '331', '34', '393', '451', '603']
['82', '625', '362', '302', '286', '63', '487']
['692', '677', '218', '509', '68', '237', '374']
['56', '470', '698', '29', '236', '397', '108']
['597', '70', '90', '318', '152', '36', '476']
['20', '290', '97', '200', '567', '497', '657']
['159', '416', '50', '199', '653', '424', '369']
['588', '590', '428', '307', '140', '81', '495']
['412', '433', '631', '288', '42', '420', '87']
['61', '67', '622', '240', '45', '486', '320']
['353', '449', '514', '387', '43', '685', '305']
['216', '204', '574', '455', '492', '489', '189']
['185', '464', '281', '619', '573', '181', '675']
['545', '118', '438', '617', '341', '317', '193']
['11', '598', '696', '102', '546', '531', '263']
['313', '575', '556', '496', '413', '536', '332']
['461', '468', '652', '336', '162', '586', '671']
['148', '328', '4', '229', '147', '384', '12']
['284', '319', '27', '519', '207', '610', '254']
['551', '670', '144', '312', '77', '277', '51']
['24', '654', '47', '434', '125', '172', '607']
['337', '72', '552', '456', '694', '605', '577']
['643', '1', '109', '130', '174', '491', '517']
['389', '634', '529', '133', '30', '327', '689']
['457', '214', '308', '220', '282', '89', '440']
['212', '375', '488', '609', '366', '392', '135']
