['216', '878', '358', '551', '24', '336', '767', '520', '987', '596', '190', '860', '298', '968', '59', '828', '685', '491', '236', '265']
['368', '720', '164', '77', '897', '847', '461', '820', '764', '934', '748', '711', '717', '889', '306', '449', '26', '122', '843', '215']
['136', '267', '350', '939', '552', '954', '671', '85', '789', '667', '96', '253', '448', '297', '242', '343', '291', '521', '896', '940']
['507', '913', '71', '310', '235', '143', '459', '749', '263', '261', '50', '610', '23', '766', '719', '584', '154', '293', '147', '314']
['463', '903', '33', '102', '701', '82', '1', '199', '115', '949', '117', '678', '51', '435', '893', '714', '206', '87', '380', '196']
['695', '908', '928', '319', '727', '733', '741', '30', '427', '852', '962', '220', '32', '228', '254', '48', '423', '966', '831', '227']
['444', '745', '562', '898', '794', '226', '389', '467', '981', '815', '973', '431', '691', '255', '331', '359', '942', '735', '732', '607']
['316', '862', '721', '189', '237', '208', '985', '760', '999', '751', '378', '866', '108', '352', '712', '614', '809', '816', '615', '804']
['74', '100', '160', '94', '371', '803', '36', '432', '483', '644', '747', '283', '587', '8', '111', '953', '419', '144', '683', '429']
['660', '224', '932', '498', '569', '920', '625', '669', '322', '353', '850', '276', '856', '332', '950', '149', '469', '311', '668', '937']
['21', '289', '151', '647', '138', '918', '687', '188', '976', '148', '606', '497', '827', '907', '899', '813', '305', '204', '865', '839']
['218', '281', '205', '417', '471', '665', '176', '323', '492', '786', '404', '7', '917', '716', '299', '280', '161', '248', '715', '910']
['909', '112', '515', '617', '155', '219', '300', '101', '195', '834', '793', '604', '506', '119', '328', '252', '476', '811', '422', '706']
['514', '29', '443', '824', '943', '366', '662', '620', '708', '970', '412', '639', '76', '480', '659', '656', '677', '585', '13', '792']
['948', '774', '757', '210', '349', '684', '158', '959', '643', '485', '833', '548', '885', '142', '575', '535', '127', '627', '295', '533']
['694', '755', '424', '181', '354', '655', '554', '239', '386', '964', '646', '686', '753', '875', '791', '572', '445', '67', '571', '107']
['231', '465', '433', '436', '407', '409', '302', '846', '307', '110', '526', '83', '969', '27', '484', '558', '772', '166', '929', '796']
['17', '919', '595', '446', '416', '513', '360', '825', '642', '784', '66', '453', '120', '829', '197', '125', '616', '653', '37', '12']
['246', '599', '728', '278', '175', '904', '207', '244', '967', '447', '441', '986', '163', '845', '272', '203', '364', '549', '611', '90']
['785', '287', '783', '296', '372', '65', '187', '129', '979', '872', '194', '81', '473', '700', '882', '690', '61', '579', '869', '511']
['531', '202', '983', '11', '512', '370', '499', '525', '273', '597', '594', '15', '992', '233', '68', '63', '269', '930', '744', '387']
['518', '956', '442', '788', '730', '452', '761', '60', '6', '259', '40', '544', '775', '73', '245', '679', '724', '638', '874', '895']
['64', '651', '504', '391', '396', '376', '271', '3', '292', '52', '62', '321', '325', '837', '963', '750', '173', '249', '288', '777']
['634', '861', '529', '460', '93', '317', '240', '915', '725', '782', '217', '165', '857', '229', '576', '347', '629', '713', '698', '113']
['315', '274', '156', '466', '333', '327', '439', '922', '830', '495', '808', '88', '550', '805', '613', '361', '334', '415', '779', '650']
['994', '105', '121', '704', '256', '593', '58', '886', '344', '591', '543', '693', '167', '270', '377', '238', '933', '709', '770', '128']
['914', '318', '648', '523', '179', '631', '982', '201', '266', '403', '340', '718', '42', '688', '56', '556', '286', '482', '673', '657']
['538', '308', '232', '952', '70', '395', '20', '451', '34', '481', '906', '703', '658', '355', '304', '44', '699', '457', '880', '19']
['582', '722', '326', '414', '145', '45', '780', '410', '16', '990', '91', '55', '258', '814', '180', '98', '737', '961', '89', '855']
['790', '630', '601', '580', '47', '362', '854', '379', '998', '131', '31', '478', '116', '801', '348', '812', '223', '211', '873', '707']
['475', '39', '170', '159', '375', '729', '851', '731', '384', '162', '776', '762', '382', '522', '666', '18', '645', '0', '734', '600']
['822', '493', '182', '739', '553', '955', '564', '133', '157', '863', '768', '54', '560', '398', '799', '183', '437', '696', '540', '420']
['557', '490', '972', '547', '573', '947', '844', '470', '736', '357', '381', '356', '663', '756', '474', '787', '150', '661', '477', '941']
['935', '290', '374', '637', '723', '365', '883', '222', '823', '294', '989', '818', '118', '797', '285', '676', '250', '817', '172', '510']
['726', '542', '346', '590', '561', '565', '588', '936', '9', '674', '411', '778', '186', '508', '53', '759', '4', '923', '72', '888']
['49', '624', '501', '993', '609', '517', '408', '303', '241', '802', '633', '171', '503', '589', '268', '153', '140', '25', '649', '247']
['567', '69', '84', '137', '342', '944', '819', '619', '367', '458', '771', '402', '879', '632', '836', '680', '519', '397', '871', '652']
['798', '464', '641', '209', '636', '621', '135', '430', '821', '838', '545', '527', '212', '345', '168', '401', '623', '681', '309', '769']
['385', '901', '95', '438', '500', '198', '123', '867', '489', '697', '924', '169', '931', '472', '835', '178', '958', '193', '842', '103']
['92', '912', '141', '858', '262', '418', '405', '43', '200', '848', '86', '10', '530', '635', '853', '455', '329', '705', '383', '46']
['925', '800', '951', '974', '99', '626', '230', '670', '612', '251', '114', '965', '672', '763', '859', '583', '537', '980', '618', '841']
['864', '363', '795', '479', '434', '35', '22', '496', '568', '628', '335', '905', '603', '975', '487', '324', '742', '840', '563', '2']
['428', '369', '79', '654', '454', '945', '702', '502', '746', '900', '598', '957', '406', '622', '608', '559', '921', '892', '221', '586']
['393', '546', '392', '926', '534', '692', '126', '80', '890', '505', '566', '184', '279', '946', '887', '997', '152', '605', '421', '509']
['97', '532', '738', '528', '320', '740', '995', '284', '192', '264', '468', '57', '592', '139', '450', '486', '807', '577', '177', '832']
['978', '462', '134', '574', '927', '130', '312', '275', '891', '516', '28', '338', '425', '213', '75', '132', '38', '214', '174', '984']
['877', '426', '191', '743', '570', '991', '124', '41', '689', '849', '257', '234', '282', '524', '146', '773', '494', '988', '902', '971']
['260', '911', '301', '388', '541', '400', '413', '710', '938', '243', '488', '810', '640', '185', '78', '337', '399', '884', '806', '351']
['758', '104', '394', '752', '881', '330', '440', '765', '682', '555', '373', '602', '390', '536', '754', '578', '341', '894', '106', '5']
['109', '868', '277', '339', '225', '539', '996', '675', '876', '664', '456', '581', '916', '14', '870', '826', '960', '977', '313', '781']
