['727', '339', '794', '659', '223', '763', '399', '801', '130', '338', '212', '750', '248', '697', '243', '178', '463', '204', '481', '777', '400', '689', '83', '667', '259', '432', '539', '647', '427', '506', '827', '202', '559', '358', '867', '678', '214', '593', '55', '173', '602', '668', '662', '268', '583']
['300', '701', '102', '642', '803', '422', '605', '120', '592', '795', '299', '154', '67', '858', '170', '608', '700', '372', '800', '554', '52', '3', '855', '195', '449', '729', '28', '558', '110', '92', '745', '513', '626', '225', '360', '798', '320', '373', '879', '337', '598', '589', '703', '140', '806']
['819', '135', '161', '220', '574', '215', '549', '139', '500', '246', '327', '682', '96', '775', '265', '548', '673', '137', '43', '596', '68', '366', '254', '730', '132', '236', '14', '331', '117', '655', '573', '147', '434', '871', '533', '551', '584', '737', '808', '684', '791', '131', '553', '702', '812']
['64', '62', '25', '882', '35', '256', '563', '385', '622', '250', '666', '0', '398', '577', '802', '326', '528', '367', '562', '511', '218', '168', '619', '546', '321', '886', '279', '881', '260', '685', '840', '359', '82', '23', '866', '590', '652', '380', '740', '732', '85', '783', '734', '63', '213']
['891', '699', '617', '498', '356', '159', '509', '181', '505', '421', '716', '156', '503', '276', '252', '71', '19', '266', '382', '136', '144', '50', '770', '527', '712', '690', '121', '242', '61', '515', '541', '341', '125', '645', '688', '17', '451', '376', '648', '166', '656', '623', '119', '29', '437']
['66', '499', '316', '412', '856', '844', '674', '504', '179', '627', '809', '758', '672', '306', '725', '450', '756', '711', '769', '768', '784', '410', '807', '621', '487', '580', '148', '604', '458', '239', '169', '330', '20', '715', '796', '606', '352', '262', '127', '31', '632', '616', '1', '126', '384']
['95', '628', '368', '128', '397', '552', '631', '550', '408', '65', '274', '325', '759', '24', '658', '49', '45', '538', '5', '342', '113', '12', '291', '86', '497', '307', '293', '116', '203', '669', '180', '438', '172', '416', '22', '146', '346', '143', '374', '11', '216', '510', '821', '115', '865']
['294', '72', '77', '545', '514', '762', '825', '51', '79', '512', '884', '843', '486', '318', '157', '75', '670', '742', '361', '818', '296', '177', '370', '828', '165', '899', '255', '284', '482', '532', '890', '201', '878', '393', '448', '792', '492', '332', '340', '355', '488', '495', '579', '822', '696']
['26', '253', '704', '695', '457', '687', '199', '752', '328', '582', '198', '107', '353', '637', '507', '837', '105', '445', '27', '133', '162', '719', '833', '876', '842', '420', '490', '290', '249', '489', '425', '852', '415', '273', '93', '868', '634', '124', '186', '158', '721', '324', '496', '629', '771']
['774', '612', '217', '686', '349', '530', '790', '778', '104', '473', '354', '389', '469', '313', '525', '446', '454', '122', '456', '705', '409', '459', '44', '872', '441', '649', '733', '861', '46', '860', '885', '2', '838', '679', '467', '643', '875', '392', '607', '772', '892', '106', '823', '430', '428']
['830', '58', '362', '859', '109', '191', '391', '350', '289', '805', '308', '206', '765', '414', '4', '479', '646', '455', '743', '817', '650', '145', '543', '575', '480', '443', '797', '677', '576', '194', '761', '298', '848', '537', '609', '89', '557', '462', '613', '390', '99', '369', '857', '724', '718']
['38', '610', '887', '16', '888', '519', '258', '736', '874', '654', '364', '33', '285', '811', '418', '234', '862', '21', '267', '174', '278', '741', '468', '333', '453', '461', '101', '94', '873', '581', '431', '834', '9', '744', '476', '311', '531', '335', '897', '824', '275', '694', '129', '529', '877']
['595', '18', '522', '197', '395', '238', '7', '111', '406', '614', '747', '40', '889', '171', '625', '841', '793', '30', '150', '76', '776', '536', '417', '73', '641', '100', '271', '211', '34', '305', '112', '707', '251', '348', '471', '402', '698', '779', '569', '240', '228', '8', '222', '586', '245']
['728', '378', '739', '494', '849', '188', '620', '208', '247', '764', '478', '219', '90', '820', '773', '640', '624', '474', '53', '850', '411', '829', '205', '567', '636', '633', '440', '693', '287', '153', '138', '232', '388', '464', '518', '13', '814', '782', '780', '297', '692', '521', '134', '571', '176']
['653', '15', '566', '893', '603', '708', '286', '587', '60', '235', '472', '383', '184', '644', '32', '720', '264', '37', '424', '508', '544', '813', '435', '317', '485', '371', '343', '660', '477', '281', '746', '717', '799', '91', '345', '10', '896', '164', '594', '379', '207', '706', '433', '524', '869']
['663', '483', '429', '738', '182', '542', '233', '401', '585', '883', '635', '108', '237', '845', '142', '615', '723', '70', '381', '470', '444', '754', '475', '277', '810', '560', '460', '466', '540', '396', '302', '591', '377', '710', '675', '517', '187', '407', '288', '314', '175', '42', '160', '839', '387']
['657', '322', '665', '709', '832', '713', '547', '671', '452', '261', '534', '405', '230', '722', '48', '227', '854', '846', '295', '192', '826', '231', '229', '804', '209', '561', '864', '114', '501', '638', '816', '88', '357', '74', '681', '726', '786', '244', '535', '394', '363', '556', '894', '224', '80']
['87', '526', '97', '588', '310', '676', '200', '59', '280', '568', '309', '78', '493', '680', '597', '403', '41', '344', '787', '465', '753', '54', '863', '601', '664', '152', '351', '36', '781', '748', '570', '880', '167', '639', '618', '365', '123', '155', '611', '755', '323', '185', '315', '413', '163']
['599', '436', '565', '661', '56', '491', '423', '221', '572', '683', '272', '226', '303', '347', '190', '847', '426', '81', '269', '6', '767', '283', '419', '714', '760', '183', '439', '257', '691', '484', '282', '329', '149', '578', '815', '336', '523', '564', '69', '600', '292', '831', '502', '789', '442']
['84', '785', '895', '57', '404', '196', '118', '270', '151', '788', '853', '751', '520', '304', '735', '241', '141', '47', '836', '766', '555', '263', '103', '334', '39', '447', '516', '375', '835', '898', '651', '319', '749', '386', '193', '757', '630', '301', '312', '851', '870', '731', '98', '210', '189']
