['496', '887', '860', '630', '194']
['217', '273', '283', '500', '96']
['924', '660', '124', '380', '957']
['911', '650', '221', '358', '741']
['432', '914', '492', '485', '918']
['396', '47', '249', '326', '537']
['779', '545', '767', '105', '554']
['384', '100', '180', '297', '995']
['120', '309', '69', '189', '314']
['171', '763', '732', '98', '794']
['601', '224', '716', '679', '614']
['808', '136', '332', '694', '387']
['439', '359', '60', '130', '166']
['413', '966', '655', '812', '135']
['465', '726', '758', '770', '463']
['692', '225', '713', '618', '788']
['187', '220', '703', '145', '565']
['235', '735', '24', '152', '320']
['444', '319', '754', '928', '659']
['593', '664', '476', '580', '990']
['853', '175', '232', '586', '484']
['193', '640', '540', '684', '148']
['881', '328', '259', '872', '87']
['517', '188', '425', '542', '846']
['11', '318', '668', '416', '122']
['878', '454', '32', '78', '573']
['611', '886', '467', '403', '835']
['883', '819', '728', '947', '223']
['186', '333', '462', '23', '885']
['739', '961', '51', '528', '503']
['785', '456', '471', '962', '428']
['849', '561', '622', '140', '629']
['651', '723', '511', '633', '868']
['431', '789', '275', '736', '801']
['702', '209', '818', '412', '643']
['876', '841', '388', '440', '832']
['269', '956', '654', '861', '176']
['904', '43', '612', '92', '719']
['530', '3', '102', '2', '398']
['959', '725', '143', '967', '600']
['792', '546', '609', '842', '239']
['597', '602', '106', '675', '798']
['141', '360', '666', '576', '498']
['856', '121', '288', '579', '984']
['482', '91', '236', '525', '399']
['657', '722', '255', '765', '287']
['354', '277', '706', '979', '466']
['350', '693', '862', '907', '531']
['954', '317', '477', '295', '870']
['271', '986', '311', '671', '335']
['55', '191', '989', '488', '780']
['20', '777', '252', '265', '369']
['897', '49', '67', '266', '645']
['771', '845', '799', '436', '90']
['815', '256', '101', '822', '701']
['931', '10', '222', '529', '938']
['677', '678', '280', '971', '906']
['381', '700', '922', '197', '42']
['720', '306', '178', '757', '397']
['4', '410', '628', '637', '688']
['852', '805', '520', '598', '708']
['865', '337', '541', '88', '243']
['689', '522', '1', '119', '241']
['858', '829', '144', '724', '134']
['14', '7', '39', '994', '686']
['45', '203', '165', '844', '341']
['370', '831', '84', '843', '212']
['983', '963', '934', '142', '447']
['673', '745', '560', '111', '608']
['752', '138', '619', '161', '346']
['894', '850', '253', '150', '394']
['596', '527', '691', '237', '299']
['54', '294', '183', '996', '526']
['214', '293', '110', '634', '201']
['22', '163', '501', '77', '372']
['939', '583', '228', '680', '968']
['441', '302', '139', '851', '502']
['267', '803', '712', '595', '516']
['421', '796', '715', '836', '407']
['824', '291', '975', '27', '940']
['475', '717', '366', '382', '170']
['682', '391', '592', '213', '685']
['833', '386', '367', '797', '871']
['321', '690', '699', '493', '759']
['981', '960', '443', '21', '917']
['588', '854', '41', '112', '227']
['721', '508', '621', '419', '804']
['847', '8', '756', '974', '155']
