['448', '138', '631', '284', '186', '44', '632', '498', '456', '710', '640', '359', '711', '334', '134', '277', '647', '767', '696', '205', '115', '699', '62', '131', '42', '524', '192', '325', '380', '556', '105', '428', '649', '553', '567', '199', '293', '389', '650', '606', '566', '84', '608', '687', '733', '749', '730', '135', '114', '234']
['32', '759', '146', '58', '564', '310', '64', '191', '128', '410', '558', '417', '604', '368', '554', '781', '500', '403', '37', '686', '289', '551', '372', '789', '625', '499', '312', '376', '493', '4', '760', '560', '110', '390', '170', '676', '18', '198', '227', '123', '70', '527', '467', '148', '618', '639', '599', '92', '662', '224']
['585', '29', '495', '496', '327', '200', '211', '160', '11', '589', '623', '281', '97', '449', '576', '777', '521', '78', '788', '465', '229', '742', '343', '472', '577', '433', '704', '83', '346', '100', '158', '601', '251', '569', '129', '432', '772', '750', '41', '659', '0', '174', '52', '370', '720', '779', '695', '331', '395', '740']
['156', '544', '321', '705', '177', '6', '587', '187', '220', '54', '416', '226', '505', '69', '622', '439', '256', '761', '161', '238', '233', '590', '53', '118', '732', '785', '595', '425', '168', '501', '693', '162', '378', '314', '113', '384', '19', '112', '644', '610', '320', '726', '336', '526', '190', '485', '717', '279', '489', '572']
['17', '263', '630', '641', '335', '475', '264', '588', '219', '96', '193', '470', '574', '708', '491', '515', '185', '471', '474', '620', '497', '648', '580', '444', '427', '225', '102', '48', '244', '531', '119', '322', '540', '55', '420', '31', '745', '614', '363', '787', '45', '668', '301', '383', '739', '20', '12', '106', '776', '484']
['374', '344', '313', '65', '210', '423', '14', '311', '562', '98', '743', '246', '463', '689', '736', '357', '3', '34', '494', '652', '415', '519', '396', '339', '215', '184', '681', '298', '506', '63', '230', '555', '232', '701', '38', '598', '407', '286', '239', '249', '116', '82', '725', '414', '275', '159', '362', '302', '667', '391']
['89', '486', '95', '539', '39', '358', '338', '353', '538', '669', '332', '654', '231', '13', '23', '621', '316', '163', '431', '413', '354', '270', '715', '712', '9', '481', '612', '518', '771', '213', '367', '381', '80', '5', '124', '315', '262', '646', '769', '348', '276', '547', '768', '722', '578', '30', '165', '476', '345', '35']
['757', '265', '511', '488', '7', '132', '624', '176', '201', '120', '627', '487', '794', '108', '87', '796', '157', '690', '154', '679', '525', '25', '600', '434', '666', '241', '172', '269', '680', '181', '503', '552', '775', '125', '664', '422', '202', '798', '101', '175', '455', '408', '492', '536', '657', '290', '59', '76', '261', '766']
['528', '672', '586', '634', '164', '21', '534', '258', '583', '144', '513', '609', '663', '352', '171', '107', '461', '602', '697', '418', '421', '542', '698', '382', '651', '754', '180', '707', '117', '349', '46', '442', '155', '784', '207', '731', '638', '130', '141', '786', '746', '292', '267', '460', '508', '350', '252', '223', '702', '548']
['209', '214', '188', '795', '723', '254', '452', '661', '388', '582', '24', '517', '765', '85', '459', '250', '727', '443', '636', '72', '532', '596', '152', '753', '774', '221', '133', '371', '453', '406', '126', '140', '543', '450', '16', '285', '166', '260', '355', '360', '385', '469', '67', '438', '61', '204', '729', '721', '684', '49']
['457', '342', '791', '584', '103', '77', '295', '273', '8', '764', '326', '568', '762', '671', '713', '28', '121', '373', '565', '478', '369', '247', '309', '88', '793', '300', '197', '111', '575', '656', '91', '394', '318', '451', '458', '549', '546', '33', '635', '579', '688', '473', '22', '43', '50', '706', '1', '719', '747', '145']
['47', '73', '10', '319', '645', '507', '337', '530', '386', '347', '502', '341', '643', '436', '778', '404', '361', '74', '629', '248', '86', '397', '430', '480', '716', '109', '692', '266', '675', '557', '271', '288', '411', '206', '387', '272', '563', '328', '581', '694', '150', '136', '257', '282', '317', '628', '435', '735', '737', '665']
['477', '724', '541', '613', '379', '99', '441', '509', '405', '71', '603', '512', '446', '462', '255', '268', '516', '253', '139', '419', '189', '454', '674', '607', '402', '60', '633', '26', '758', '259', '243', '483', '714', '296', '94', '426', '278', '195', '2', '142', '797', '203', '691', '653', '366', '709', '147', '660', '782', '626']
['790', '522', '305', '728', '763', '573', '464', '304', '550', '217', '351', '375', '685', '122', '236', '770', '445', '294', '594', '466', '27', '93', '510', '218', '307', '429', '364', '535', '655', '799', '673', '401', '571', '297', '40', '398', '479', '748', '323', '291', '68', '179', '683', '570', '79', '182', '306', '783', '280', '617']
['752', '169', '409', '605', '308', '792', '677', '324', '520', '196', '127', '173', '400', '592', '283', '482', '212', '151', '393', '356', '56', '751', '670', '208', '340', '330', '773', '734', '274', '287', '756', '529', '611', '216', '15', '66', '242', '744', '616', '57', '755', '299', '235', '303', '437', '245', '514', '365', '741', '153']
['104', '178', '682', '615', '228', '780', '504', '637', '591', '490', '559', '183', '237', '561', '424', '597', '137', '36', '523', '593', '75', '329', '194', '703', '412', '167', '533', '718', '440', '678', '81', '90', '399', '537', '468', '447', '240', '700', '377', '222', '658', '642', '143', '333', '149', '392', '51', '738', '619', '545']
