['a284', 'a2', 'a41', 'a43', 'a44', 'a45', 'a46', 'a47', 'a48', 'a49', 'a50', 'a51']
['a138', 'a1', 'a100', 'a101', 'a102', 'a103', 'a104', 'a105', 'a107', 'a108', 'a109', 'a110']
['a196', 'a3', 'a53', 'a66', 'a68', 'a69', 'a70', 'a71', 'a73', 'a74', 'a75', 'a76']
['a387', 'a5', 'a162', 'a163', 'a164', 'a165', 'a166', 'a167', 'a168', 'a169', 'a170', 'a171']
['a210', 'a4', 'a52', 'a54', 'a57', 'a58', 'a59', 'a60', 'a61', 'a62', 'a63', 'a64']
['a354', 'a8', 'a77', 'a79', 'a80', 'a81', 'a82', 'a83', 'a84', 'a85', 'a86', 'a87']
['a27', 'a33', 'a470', 'a471', 'a472', 'a473', 'a474', 'a475', 'a476', 'a478', 'a479', 'a480']
['a380', 'a9', 'a131', 'a132', 'a133', 'a134', 'a135', 'a136', 'a137', 'a139', 'a140', 'a141']
['a14', 'a436', 'a438', 'a439', 'a440', 'a441', 'a442', 'a443', 'a444', 'a445', 'a446', 'a447']
['a56', 'a7', 'a99', 'a111', 'a112', 'a113', 'a114', 'a115', 'a117', 'a118', 'a119', 'a120']
['a67', 'a10', 'a88', 'a89', 'a90', 'a92', 'a93', 'a94', 'a95', 'a96', 'a97', 'a98']
['a106', 'a13', 'a152', 'a153', 'a154', 'a155', 'a156', 'a157', 'a158', 'a159', 'a160', 'a161']
['a409', 'a15', 'a194', 'a195', 'a197', 'a198', 'a199', 'a200', 'a201', 'a202', 'a203', 'a204']
['a437', 'a12', 'a142', 'a143', 'a144', 'a145', 'a146', 'a147', 'a148', 'a149', 'a150', 'a151']
['a40', 'a400', 'a403', 'a404', 'a405', 'a406', 'a407', 'a408', 'a410', 'a411', 'a412', 'a413']
['a176', 'a16', 'a172', 'a173', 'a174', 'a175', 'a177', 'a178', 'a179', 'a180', 'a181', 'a182']
['a186', 'a11', 'a183', 'a184', 'a185', 'a187', 'a188', 'a189', 'a190', 'a191', 'a192', 'a193']
['a206', 'a18', 'a227', 'a228', 'a229', 'a230', 'a231', 'a232', 'a233', 'a234', 'a235', 'a236']
['a287', 'a17', 'a247', 'a248', 'a249', 'a250', 'a251', 'a252', 'a253', 'a254', 'a255', 'a256']
['a315', 'a22', 'a267', 'a268', 'a269', 'a270', 'a271', 'a272', 'a273', 'a274', 'a275', 'a276']
['a477', 'a19', 'a205', 'a207', 'a208', 'a209', 'a211', 'a212', 'a213', 'a214', 'a215', 'a216']
['a6', 'a425', 'a426', 'a427', 'a428', 'a429', 'a430', 'a431', 'a432', 'a433', 'a434', 'a435']
['a289', 'a20', 'a313', 'a314', 'a316', 'a317', 'a318', 'a319', 'a320', 'a322', 'a323', 'a324']
['a422', 'a24', 'a277', 'a278', 'a279', 'a280', 'a281', 'a282', 'a283', 'a285', 'a286', 'a288']
['a29', 'a448', 'a449', 'a450', 'a451', 'a452', 'a453', 'a454', 'a455', 'a456', 'a457', 'a458']
['a65', 'a21', 'a302', 'a303', 'a304', 'a305', 'a306', 'a307', 'a308', 'a309', 'a311', 'a312']
['a55', 'a23', 'a217', 'a218', 'a219', 'a220', 'a221', 'a222', 'a223', 'a224', 'a225', 'a226']
['a301', 'a25', 'a325', 'a327', 'a328', 'a329', 'a330', 'a331', 'a332', 'a333', 'a334', 'a336']
['a326', 'a28', 'a121', 'a122', 'a123', 'a124', 'a125', 'a126', 'a127', 'a128', 'a129', 'a130']
['a293', 'a31', 'a337', 'a338', 'a339', 'a340', 'a341', 'a342', 'a343', 'a344', 'a345', 'a346']
['a321', 'a26', 'a290', 'a291', 'a292', 'a294', 'a295', 'a296', 'a297', 'a298', 'a299', 'a300']
['a402', 'a32', 'a347', 'a348', 'a349', 'a350', 'a351', 'a352', 'a353', 'a355', 'a356', 'a357']
['a416', 'a36', 'a368', 'a369', 'a370', 'a371', 'a372', 'a373', 'a374', 'a375', 'a376', 'a377']
['a42', 'a30', 'a257', 'a258', 'a259', 'a260', 'a261', 'a262', 'a263', 'a264', 'a265', 'a266']
['a72', 'a34', 'a237', 'a238', 'a239', 'a240', 'a241', 'a242', 'a243', 'a244', 'a245', 'a246']
['a78', 'a38', 'a358', 'a359', 'a360', 'a361', 'a362', 'a363', 'a364', 'a365', 'a366', 'a367']
['a91', 'a35', 'a390', 'a391', 'a392', 'a393', 'a394', 'a395', 'a396', 'a397', 'a398', 'a399']
['a116', 'a39', 'a401', 'a414', 'a415', 'a417', 'a418', 'a419', 'a420', 'a421', 'a423', 'a424']
['a310', 'a37', 'a378', 'a379', 'a381', 'a382', 'a383', 'a384', 'a385', 'a386', 'a388', 'a389']
['a335', 'a459', 'a460', 'a461', 'a462', 'a463', 'a464', 'a465', 'a466', 'a467', 'a468', 'a469']
