['0', 'H0', 'G52']
['30', 'H1', 'H2']
['1', 'H3', 'H4']
['2', 'H5', 'H6']
['3', 'H7', 'H8']
['4', 'H9', 'H10']
['5', 'H11', 'H12']
['6', 'H13', 'H14']
['7', 'H15', 'H16']
['8', 'H17', 'H18']
['9', 'H19', 'H20']
['10', 'H21', 'H22']
['11', 'H23', 'H24']
['12', 'H25', 'H26']
['13', 'H27', 'H28']
['14', 'H29', 'H30']
['15', 'H31', 'H32']
['16', 'H33', 'H34']
['17', 'G35', 'A53']
['18', 'H35', 'H36']
['19', 'A36', 'B36']
['20', 'C36', 'D36']
['21', 'E36', 'F36']
['22', 'G36', 'B53']
['23', 'A37', 'B37']
['24', 'C37', 'D37']
['25', 'E37', 'F37']
['26', 'G37', 'C53']
['27', 'H37', 'H38']
['28', 'A38', 'B38']
['29', 'C38', 'D38']
['31', 'E38', 'F38']
['32', 'G38', 'D53']
['33', 'A39', 'B39']
['34', 'C39', 'D39']
['35', 'E39', 'F39']
['36', 'G39', 'E53']
['37', 'H39', 'H40']
['38', 'A40', 'B40']
['39', 'C40', 'D40']
['40', 'E40', 'F40']
['41', 'G40', 'F53']
['42', 'A41', 'B41']
['43', 'C41', 'D41']
['44', 'E41', 'F41']
['45', 'G41', 'G53']
['46', 'H41', 'H42']
['47', 'A42', 'B42']
['48', 'C42', 'D42']
['49', 'E42', 'F42']
['50', 'G42', 'H53']
['51', 'A43', 'B43']
['52', 'C43', 'D43']
['53', 'E43', 'F43']
['54', 'G43', 'A54']
['55', 'H43', 'H44']
['56', 'A44', 'B44']
['57', 'C44', 'D44']
['58', 'E44', 'F44']
['59', 'G44', 'B54']
['A0', 'B0', 'C0']
['D0', 'A45', 'B45']
['E0', 'F0', 'G0']
['A1', 'B1', 'C1']
['D1', 'C45', 'D45']
['E1', 'F1', 'G1']
['A2', 'B2', 'C2']
['D2', 'E45', 'F45']
['E2', 'F2', 'G2']
['A3', 'B3', 'C3']
['D3', 'G45', 'C54']
['E3', 'F3', 'G3']
['A4', 'B4', 'C4']
['D4', 'H45', 'H46']
['E4', 'F4', 'G4']
['A5', 'B5', 'C5']
['D5', 'A46', 'B46']
['E5', 'F5', 'G5']
['A6', 'B6', 'C6']
['D6', 'C46', 'D46']
['E6', 'F6', 'G6']
['A7', 'B7', 'C7']
['D7', 'E46', 'F46']
['E7', 'F7', 'G7']
['A8', 'B8', 'C8']
['D8', 'G46', 'D54']
['E8', 'F8', 'G8']
['A9', 'B9', 'C9']
['D9', 'A47', 'B47']
['E9', 'F9', 'G9']
['A10', 'B10', 'C10']
['D10', 'C47', 'D47']
['E10', 'F10', 'G10']
['A11', 'B11', 'C11']
['D11', 'E47', 'F47']
['E11', 'F11', 'G11']
['A12', 'B12', 'C12']
['D12', 'G47', 'E54']
['E12', 'F12', 'G12']
['A13', 'B13', 'C13']
['D13', 'H47', 'H48']
['E13', 'F13', 'G13']
['A14', 'B14', 'C14']
['D14', 'A48', 'B48']
['E14', 'F14', 'G14']
['A15', 'B15', 'C15']
['D15', 'C48', 'D48']
['E15', 'F15', 'G15']
['A16', 'B16', 'C16']
['D16', 'E48', 'F48']
['E16', 'F16', 'G16']
['A17', 'B17', 'C17']
['D17', 'G48', 'F54']
['E17', 'F17', 'G17']
['A18', 'B18', 'C18']
['D18', 'A49', 'B49']
['E18', 'F18', 'G18']
['A19', 'B19', 'C19']
['D19', 'C49', 'D49']
['E19', 'F19', 'G19']
['A20', 'B20', 'C20']
['D20', 'E49', 'F49']
['E20', 'F20', 'G20']
['A21', 'B21', 'C21']
['D21', 'G49', 'G54']
['E21', 'F21', 'G21']
['A22', 'B22', 'C22']
['D22', 'H49', 'H50']
['E22', 'F22', 'G22']
['A23', 'B23', 'C23']
['D23', 'A50', 'B50']
['E23', 'F23', 'G23']
['A24', 'B24', 'C24']
['D24', 'C50', 'D50']
['E24', 'F24', 'G24']
['A25', 'B25', 'C25']
['D25', 'E50', 'F50']
['E25', 'F25', 'G25']
['A26', 'B26', 'C26']
['D26', 'G50', 'H54']
['E26', 'F26', 'G26']
['A27', 'B27', 'C27']
['D27', 'A51', 'B51']
['E27', 'F27', 'G27']
['A28', 'B28', 'C28']
['D28', 'C51', 'D51']
['E28', 'F28', 'G28']
['A29', 'B29', 'C29']
['D29', 'E51', 'F51']
['E29', 'F29', 'G29']
['A30', 'B30', 'C30']
['D30', 'G51']
['E30', 'F30', 'G30']
['A31', 'B31', 'C31']
['D31', 'H51', 'H52']
['E31', 'F31', 'G31']
['A32', 'B32', 'C32']
['D32', 'A52', 'B52']
['E32', 'F32', 'G32']
['A33', 'B33', 'C33']
['D33', 'C52', 'D52']
['E33', 'F33', 'G33']
['A34', 'B34', 'C34']
['D34', 'E52', 'F52']
['E34', 'F34', 'G34']
['A35', 'B35', 'C35']
['D35', 'E35', 'F35']
