['a69', 'a0', 'a6', 'a9', 'a1', 'a4', 'a2', 'a5', 'a8', 'a10']
['a83', 'a47', 'a44', 'a50', 'a56', 'a57', 'a54', 'a55', 'a52', 'a58']
['a65', 'a48', 'a156', 'a154', 'a160', 'a165', 'a164', 'a161', 'a169', 'a167']
['a196', 'a43', 'a67', 'a62', 'a66', 'a90', 'a192', 'a64', 'a85', 'a86']
['a126', 'a51', 'a173', 'a171', 'a178', 'a176', 'a172', 'a174', 'a177', 'a180']
['a185', 'a59', 'a183', 'a181', 'a189', 'a182', 'a188', 'a187', 'a186', 'a200']
['a203', 'a60', 'a202', 'a195', 'a199', 'a205', 'a208', 'a210', 'a211', 'a218']
['a7', 'a74', 'a209', 'a241', 'a246', 'a46', 'a53', 'a79', 'a101', 'a102']
['a11', 'a15', 'a14', 'a16', 'a61', 'a63', 'a12', 'a81', 'a18', 'a88']
['a13', 'a75', 'a216', 'a215', 'a213', 'a219', 'a220', 'a222', 'a227', 'a225']
['a19', 'a80', 'a84', 'a87', 'a82', 'a89', 'a191', 'a96', 'a99', 'a106']
['a68', 'a108', 'a214', 'a113', 'a136', 'a142', 'a162', 'a184', 'a223', 'a244']
['a197', 'a198', 'a193', 'a204', 'a17', 'a98', 'a201', 'a92', 'a20', 'a24']
['a206', 'a107', 'a212', 'a121', 'a137', 'a153', 'a179', 'a217', 'a237', 'a245']
['a207', 'a119', 'a221', 'a226', 'a224', 'a229', 'a228', 'a230', 'a235', 'a239']
['a29', 'a28', 'a27', 'a22', 'a25', 'a26', 'a23', 'a30', 'a38', 'a33']
['a37', 'a34', 'a36', 'a32', 'a35', 'a39', 'a40', 'a49', 'a42', 'a41']
['a194', 'a111', 'a112', 'a117', 'a120', 'a127', 'a124', 'a122', 'a123', 'a125']
['a190', 'a129', 'a128', 'a130', 'a134', 'a133', 'a138', 'a139', 'a135', 'a131']
['a91', 'a97', 'a94', 'a93', 'a77', 'a72', 'a76', 'a73', 'a71', 'a78']
['a95', 'a145', 'a234', 'a231', 'a238', 'a233', 'a232', 'a236', 'a240', 'a248']
['a70', 'a157', 'a152', 'a151', 'a158', 'a166', 'a168', 'a163', 'a170', 'a175']
['a100', 'a103', 'a109', 'a104', 'a105', 'a110', 'a116', 'a114', 'a115', 'a118']
['a132', 'a159', 'a243', 'a242', 'a249', 'a247', 'a3', 'a21', 'a31', 'a45']
['a140', 'a144', 'a141', 'a146', 'a148', 'a143', 'a147', 'a149', 'a150', 'a155']
