['1', '2', '34', '114', '75', '27', '94', '88', '54', '91', '132', '80']
['157', '49', '280', '416', '453', '417', '340', '351', '333', '419', '389', '318']
['158', '125', '201', '199', '290', '159', '276', '221', '245', '218', '242', '165']
['400', '118', '272', '463', '341', '455', '343', '353', '339', '406', '435', '441']
['62', '52', '459', '332', '467', '451', '362', '446', '350', '439', '430', '444']
['104', '107', '11', '92', '63', '19', '83', '151', '133', '154', '41', '71']
['95', '3', '320', '323', '414', '404', '382', '368', '396', '364', '359', '372']
['117', '74', '84', '77', '44', '116', '67', '72', '136', '97', '90', '35']
['150', '148', '79', '137', '138', '96', '42', '18', '135', '31', '102', '53']
['43', '261', '260', '169', '254', '226', '308', '232', '161', '167', '269', '230']
['100', '101', '128', '111', '21', '119', '12', '14', '81', '76', '47', '131']
['103', '106', '149', '28', '20', '40', '113', '122', '142', '68', '38', '24']
['6', '4', '5', '48', '78', '56', '30', '110', '98', '58', '17', '46']
['105', '212', '328', '391', '397', '373', '379', '326', '440', '398', '462', '322']
['36', '262', '259', '229', '214', '246', '188', '263', '163', '281', '235', '291']
['50', '93', '16', '129', '15', '82', '86', '29', '112', '7', '69', '22']
['108', '109', '8', '233', '309', '250', '283', '302', '303', '247', '297', '288']
['61', '255', '258', '248', '300', '244', '251', '215', '294', '301', '168', '182']
['65', '307', '434', '433', '365', '412', '390', '411', '316', '458', '371', '363']
['51', '203', '200', '180', '256', '207', '279', '202', '174', '217', '241', '176']
['13', '193', '192', '219', '304', '231', '185', '162', '278', '206', '164', '238']
['89', '205', '204', '208', '234', '249', '239', '236', '170', '268', '190', '257']
['143', '140', '10', '153', '9', '126', '121', '139', '134', '141', '144', '60']
['45', '211', '315', '374', '386', '393', '335', '422', '431', '317', '331', '394']
['33', '146', '237', '287', '197', '171', '209', '223', '275', '228', '306', '265']
['87', '186', '184', '253', '299', '181', '252', '156', '285', '227', '271', '213']
['73', '173', '178', '177', '196', '274', '172', '293', '187', '225', '282', '277']
['26', '224', '409', '426', '360', '383', '358', '452', '366', '384', '437', '428']
['152', '210', '378', '375', '376', '337', '348', '357', '369', '461', '344', '423']
['32', '298', '313', '312', '330', '346', '381', '465', '380', '385', '345', '370']
['59', '286', '392', '443', '367', '429', '420', '402', '356', '447', '427', '432']
['99', '166', '289', '240', '264', '305', '222', '243', '270', '284', '267', '273']
['37', '311', '387', '388', '324', '399', '327', '395', '413', '405', '456', '321']
['23', '216', '418', '415', '450', '325', '460', '466', '408', '410', '403', '377']
['39', '195', '421', '445', '336', '425', '454', '424', '464', '334', '401', '442']
['66', '296', '448', '436', '361', '349', '449', '319', '354', '342', '352', '355']
['155', '147', '123', '198', '266', '189', '295', '175', '160', '220', '292', '310']
['130', '127', '64', '145', '115', '55', '57', '70', '85', '124', '120', '0']
['25', '191', '183', '194', '179', '338', '314', '438', '347', '329', '407', '457']
