['c2', 'c6', 'c5', 'c10', 'm10', 'g7', 'g6', 'g5', 'g4', 'j10']
['q9', 't8', 't9', 't6', 't7', 't4', 't5', 't2', 't3', 't1']
['m1', 'd3', 'y7', 'd1', 'q1', 'q3', 'q2', 'q5', 'q7', 'q6']
['q4', 'v10', 'y9', 'y8', 'c4', 'd8', 'd9', 'y1', 'd4', 'y2']
['a8', 'x4', 'l6', 'l7', 'l5', 'l2', 'l3', 'l1', 'x10', 'l8']
['l4', 'y5', 'g2', 'r10', 'p3', 'g9', 'g8', 'p10', 'e8', 'o4']
['s9', 'n10', 'j8', 'j4', 'j5', 'j6', 'j7', 'j1', 'w10', 'b4']
['n6', 'q8', 'a5', 'x8', 'y10', 'a4', 'w1', 'h8', 'a7', 'o10']
['r9', 'l9', 'w6', 'w5', 'b7', 'w3', 'w2', 'b3', 'b8', 'y3']
['u9', 'w9', 'w8', 'd5', 'd2', 'l10', 'y4', 'a6', 't10', 'o9']
['n9', 'o8', 'o7', 'o6', 'o5', 'y6', 'o3', 'o2', 'o1', 's10']
['j2', 'q10', 'e5', 'e4', 'e7', 'e6', 'e1', 'f10', 'e3', 'e2']
['b2', 'e9', 'r4', 'r5', 'r6', 'r7', 'r2', 'r3', 'r8', 'a2']
['r1', 'w7', 'p1', 'p6', 'p7', 'p4', 'p5', 'h10', 'p8', 'p9']
['h9', 'h2', 'h3', 'h1', 'h6', 'h7', 'h4', 'a9', 'x1', 'a3']
['h5', 'k6', 'k5', 'k4', 'b5', 'k9', 'k8', 'i9', 'i8', 'a10']
['u1', 'k10', 'u8', 'n7', 'u5', 'u4', 'u7', 'u6', 'u3', 'u2']
['c8', 'm5', 'm4', 'm7', 'm6', 'm3', 'm2', 'u10', 'm9', 'm8']
['f8', 'f7', 'f9', 'g3', 's8', 'd10', 'g1', 's3', 's2', 's1']
['v3', 'c3', 'b9', 'c9', 'x2', 'j3', 'x6', 'x7', 'x5', 'p2']
['d7', 'i1', 'i3', 'i2', 'i5', 'i4', 'i7', 'i6', 'a1', 'v1']
['e10', 'n8', 'x9', 'd6', 'n1', 'n2', 'n3', 'n4', 'n5', 'g10']
['x3', 'w4', 's7', 's6', 's5', 's4', 'k3', 'k2', 'k1', 'k7']
['c1', 'b10', 'v2', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'i10']
['j9', 'b6', 'c7', 'b1', 'f1', 'f2', 'f3', 'f4', 'f5', 'f6']
