['126', '1', '2', '3', '4', '5', '6', '7', '8', '9']
['496', '19', '20', '21', '22', '23', '24', '25', '26', '27']
['261', '10', '11', '12', '13', '14', '15', '16', '17', '18']
['168', '249', '250', '251', '252', '253', '254', '255', '256', '257']
['105', '40', '41', '42', '43', '44', '45', '47', '48', '49']
['290', '29', '30', '31', '34', '35', '36', '37', '38', '39']
['109', '50', '52', '54', '55', '56', '57', '58', '59', '60']
['294', '270', '271', '272', '273', '274', '275', '276', '277', '278']
['374', '61', '62', '63', '64', '65', '66', '67', '68', '69']
['138', '113', '115', '116', '117', '118', '119', '120', '122', '123']
['170', '70', '71', '72', '73', '74', '76', '77', '79', '80']
['205', '258', '259', '260', '262', '263', '264', '266', '267', '269']
['129', '289', '291', '292', '293', '295', '296', '297', '298', '299']
['268', '81', '82', '83', '84', '85', '86', '87', '89', '90']
['315', '136', '139', '140', '141', '143', '144', '145', '146', '147']
['78', '300', '301', '302', '303', '304', '305', '307', '309', '310']
['93', '91', '94', '95', '96', '97', '98', '99', '100', '101']
['75', '279', '280', '281', '282', '284', '285', '286', '287', '288']
['265', '102', '103', '104', '106', '107', '108', '110', '111', '112']
['283', '124', '127', '128', '130', '131', '132', '133', '134', '135']
['390', '148', '149', '150', '152', '153', '154', '155', '156', '157']
['489', '311', '312', '313', '314', '316', '317', '318', '319', '320']
['46', '158', '159', '160', '161', '162', '163', '164', '165', '167']
['121', '330', '331', '333', '334', '335', '336', '337', '339', '340']
['306', '169', '171', '172', '173', '174', '175', '176', '177', '178']
['28', '321', '322', '323', '324', '325', '326', '327', '328', '329']
['92', '350', '351', '352', '353', '354', '355', '356', '357', '358']
['114', '201', '202', '203', '204', '206', '207', '208', '209', '210']
['221', '359', '360', '361', '362', '363', '364', '365', '366', '367']
['308', '179', '180', '181', '182', '183', '184', '185', '186', '187']
['142', '398', '399', '400', '401', '403', '404', '405', '406', '407']
['190', '387', '388', '389', '391', '392', '393', '394', '395', '396']
['53', '378', '379', '380', '381', '382', '383', '384', '385', '386']
['88', '368', '369', '370', '371', '372', '373', '375', '376', '377']
['151', '341', '342', '343', '344', '345', '346', '347', '348', '349']
['166', '409', '410', '411', '412', '413', '414', '415', '416', '417']
['194', '418', '419', '420', '421', '422', '423', '424', '425', '426']
['230', '427', '428', '429', '430', '431', '432', '433', '434', '435']
['338', '220', '222', '223', '224', '225', '226', '227', '228', '229']
['397', '188', '189', '191', '192', '193', '195', '196', '198', '199']
['408', '436', '437', '438', '439', '440', '441', '442', '443', '444']
['32', '445', '446', '447', '448', '449', '450', '451', '452', '453']
['51', '240', '241', '242', '243', '244', '245', '246', '247', '248']
['125', '231', '232', '233', '234', '235', '236', '237', '238', '239']
['197', '211', '212', '213', '214', '215', '216', '217', '218', '219']
['200', '454', '455', '456', '457', '458', '459', '460', '461', '462']
['332', '472', '473', '474', '475', '476', '477', '478', '479', '480']
['402', '481', '482', '483', '484', '485', '486', '487', '488', '490']
['33', '491', '492', '493', '494', '495', '497', '498', '499', '500']
['137', '463', '464', '465', '466', '467', '468', '469', '470', '471']
