['386', '3', '8', '25', '28', '30', '42', '32', '37', '43', '45', '52', '54', '58', '59', '74', '76', '77', '82', '68', '85']
['44', '48', '51', '55', '57', '62', '63', '66', '96', '100', '102', '104', '107', '114', '116', '120', '121', '61', '129', '132', '125']
['110', '112', '122', '123', '124', '144', '149', '153', '158', '183', '188', '191', '193', '117', '195', '309', '135', '143', '189', '199', '126']
['67', '93', '94', '99', '101', '103', '106', '119', '127', '128', '133', '136', '137', '141', '147', '151', '115', '142', '163', '165', '138']
['346', '2', '9', '10', '12', '13', '14', '15', '16', '17', '19', '20', '22', '23', '18', '27', '29', '39', '50', '56', '80']
['108', '73', '75', '79', '83', '84', '86', '87', '89', '65', '105', '113', '145', '172', '173', '190', '192', '72', '111', '130', '140']
['154', '156', '160', '161', '166', '167', '168', '185', '200', '209', '71', '237', '260', '261', '262', '264', '266', '169', '178', '179', '186']
['196', '198', '202', '204', '205', '176', '218', '231', '235', '243', '248', '249', '250', '182', '206', '256', '263', '265', '162', '220', '267']
['245', '171', '174', '175', '180', '184', '194', '203', '207', '208', '211', '222', '251', '254', '257', '268', '271', '281', '288', '216', '295']
['131', '134', '148', '150', '159', '214', '221', '223', '224', '227', '230', '233', '152', '238', '350', '139', '181', '187', '197', '210', '244']
['212', '213', '215', '217', '219', '226', '232', '118', '228', '272', '275', '312', '315', '318', '319', '335', '347', '351', '336', '345', '236']
['1', '234', '239', '240', '241', '242', '246', '247', '252', '253', '255', '292', '296', '297', '298', '299', '305', '258', '290', '329', '269']
['259']
['277', '278', '280', '282', '283', '284', '285', '286', '287', '289', '291', '294', '301', '313', '308', '314', '316', '322', '325', '225', '304']
['317', '324', '326', '327', '328', '330', '331', '332', '333', '306', '342', '352', '355', '359', '360', '353', '361', '368', '374', '394', '397']
['365', '373', '380', '273', '362', '363', '393', '201', '229', '270', '274', '279', '293', '310', '320', '334', '338', '348', '349', '369', '276']
['300', '302', '303', '307', '311', '321', '367', '372', '375', '377', '378', '379', '383', '384', '388', '389', '391', '392', '323', '376', '399']
['4', '337', '339', '340', '341', '343', '344', '354', '356', '357', '358', '366', '370', '371', '109', '146', '155', '157', '164', '170', '177']
['47', '381', '382', '385', '387', '390', '395', '396', '398', '400', '21', '26', '31', '33', '35', '40', '49', '364', '5', '6', '7']
['11', '24', '34', '36', '38', '41', '53', '60', '64', '78', '88', '90', '91', '92', '95', '97', '98', '46', '69', '70', '81']
